时间(s),温度(摄氏度)
232,225.95
232.5,226.3
233,226.64
233.5,226.99
234,227.33
234.5,227.66
235,227.99
235.5,228.32
236,228.64
236.5,228.96
237,229.28
237.5,229.59
238,229.9
238.5,230.21
239,230.51
239.5,230.81
240,231.11
240.5,231.4
241,231.69
241.5,231.98
242,232.26
242.5,232.54
243,232.81
243.5,233.09
244,233.36
244.5,233.63
245,233.89
245.5,234.15
246,234.41
246.5,234.66
247,234.92
247.5,235.17
248,235.41
248.5,235.66
249,235.9
249.5,236.14
250,236.37
250.5,236.6
251,236.84
251.5,237.06
252,237.29
252.5,237.51
253,237.73
253.5,237.95
254,238.16
254.5,238.38
255,238.59
255.5,238.8
256,239
256.5,239.2
257,239.41
257.5,239.6
258,239.8
258.5,240
259,240.19
259.5,240.38
260,240.57
260.5,240.75
261,240.93
261.5,241.1
262,241.25
262.5,241.38
263,241.49
263.5,241.59
264,241.66
264.5,241.71
265,241.75
265.5,241.77
266,241.77
266.5,241.75
267,241.72
267.5,241.66
268,241.59
268.5,241.51
269,241.4
269.5,241.28
270,241.15
270.5,240.99
271,240.83
271.5,240.64
272,240.44
272.5,240.23
273,239.99
273.5,239.75
274,239.49
274.5,239.21
275,238.92
275.5,238.62
276,238.3
276.5,237.96
277,237.62
277.5,237.26
278,236.88
278.5,236.49
279,236.09
279.5,235.68
280,235.25
280.5,234.81
281,234.35
281.5,233.89
282,233.41
282.5,232.92
283,232.41
283.5,231.9
284,231.37
284.5,230.83
285,230.28
285.5,229.72
286,229.14
286.5,228.56
287,227.96
287.5,227.36
288,226.74
288.5,226.11
289,225.47
289.5,224.82
290,224.16
290.5,223.49
291,222.81
291.5,222.12
292,221.42
292.5,220.71
293,219.99
293.5,219.26
294,218.52
294.5,217.77
295,217.01
295.5,216.24
296,215.47
296.5,214.68
297,213.89
297.5,213.08
298,212.27
298.5,211.45
299,210.62
299.5,209.79
300,208.94
300.5,208.09
301,207.23
301.5,206.36
302,205.48
302.5,204.59
303,203.7
303.5,202.8
304,201.89
304.5,200.98
305,200.05
305.5,199.12
306,198.18
306.5,197.24
307,196.29
307.5,195.33
308,194.36
308.5,193.39
309,192.41
309.5,191.42
310,190.43
310.5,189.43
311,188.43
311.5,187.41
312,186.39
312.5,185.37
313,184.34
313.5,183.3
314,182.26
314.5,181.21
315,180.15
315.5,179.09
316,178.03
316.5,176.96
317,175.88
317.5,174.79
318,173.71
318.5,172.61
319,171.51
319.5,170.41
320,169.3
320.5,168.18
321,167.06
321.5,165.93
322,164.8
322.5,163.67
323,162.53
323.5,161.38
324,160.23
324.5,159.08
325,157.92
325.5,156.75
326,155.58
326.5,154.41
327,153.23
327.5,152.05
328,150.86
328.5,149.67
329,148.48
329.5,147.28
330,146.07
330.5,144.86
331,143.65
331.5,142.44
332,141.22
332.5,139.99
333,138.76
333.5,137.53
334,136.3
334.5,135.06
335,133.81
